  Hz	 Vrms	dBV
5150	0.406	-7.834
5200	0.398	-7.998
5250	0.388	-8.232
5300	0.382	-8.368
5350	0.372	-8.594
5400	0.362	-8.815
5450	0.358	-8.922
5500	0.350	-9.126
5550	0.342	-9.307
5600	0.336	-9.462
5650	0.329	-9.661
5700	0.322	-9.838
5750	0.316	-10.007
5800	0.311	-10.137
5850	0.307	-10.260
5900	0.301	-10.415
5950	0.295	-10.601
6000	0.291	-10.724
6050	0.286	-10.874
6100	0.281	-11.022
6150	0.275	-11.202
6200	0.272	-11.309
6250	0.268	-11.447
6300	0.263	-11.592
6350	0.261	-11.674
6400	0.256	-11.840
6450	0.252	-11.965
6500	0.248	-12.113
6550	0.245	-12.225
6600	0.240	-12.378
6650	0.239	-12.437
6700	0.235	-12.564
6750	0.232	-12.706
6800	0.228	-12.839
6850	0.226	-12.915
6900	0.223	-13.024
6950	0.219	-13.180
7000	0.217	-13.261
7050	0.215	-13.342
7100	0.213	-13.450
7150	0.209	-13.592
7200	0.207	-13.669
7250	0.205	-13.780
7300	0.203	-13.833
7350	0.200	-13.975
7400	0.198	-14.068
7450	0.196	-14.167
7500	0.194	-14.247
7550	0.193	-14.296
7600	0.190	-14.432
7650	0.187	-14.542
7700	0.186	-14.627
7750	0.184	-14.701
7800	0.182	-14.796
7850	0.181	-14.828
7900	0.178	-14.976
7950	0.176	-15.077
8000	0.174	-15.165
8050	0.174	-15.206
8100	0.172	-15.277
8150	0.170	-15.376
8200	0.169	-15.459
8250	0.167	-15.540
8300	0.165	-15.643
8350	0.164	-15.700
8400	0.163	-15.771
8450	0.161	-15.859
8500	0.160	-15.893
8550	0.159	-15.963
8600	0.158	-16.015
8650	0.156	-16.147
8700	0.154	-16.234
8750	0.153	-16.309
8800	0.152	-16.374
8850	0.151	-16.420
8900	0.150	-16.494
8950	0.149	-16.521
9000	0.148	-16.596
9050	0.147	-16.682
9100	0.145	-16.767
9150	0.144	-16.829
9200	0.142	-16.937
9250	0.142	-16.959
9300	0.141	-17.043
9350	0.140	-17.077
9400	0.139	-17.109
9450	0.138	-17.192
9500	0.137	-17.249
9550	0.136	-17.338
9600	0.135	-17.378
9650	0.134	-17.477
9700	0.133	-17.550
9750	0.132	-17.615
9800	0.131	-17.685
9850	0.130	-17.702
9900	0.129	-17.776
9950	0.129	-17.822
10000	0.128	-17.835
  Hz	 Vrms	dBV
1000	0.015	-36.281
1050	0.016	-35.774
1100	0.017	-35.327
1150	0.018	-34.860
1200	0.019	-34.427
1250	0.020	-34.028
1300	0.021	-33.610
1350	0.022	-33.203
1400	0.023	-32.794
1450	0.024	-32.452
1500	0.025	-32.041
1550	0.026	-31.677
1600	0.027	-31.284
1650	0.028	-30.929
1700	0.030	-30.567
1750	0.031	-30.229
1800	0.032	-29.852
1850	0.033	-29.512
1900	0.035	-29.127
1950	0.036	-28.776
2000	0.038	-28.448
2050	0.039	-28.075
2100	0.041	-27.709
2150	0.043	-27.360
2200	0.045	-26.985
2250	0.047	-26.595
2300	0.049	-26.281
2350	0.051	-25.899
2400	0.053	-25.540
2450	0.055	-25.131
2500	0.058	-24.746
2550	0.060	-24.391
2600	0.063	-23.967
2650	0.067	-23.531
