Frequenz [Hz],Ue[V],Ua[V]
300,0.84,0.48
600,0.84,0.8
900,0.84,0.96
3000,0.84,1.28
6000,0.84,1.32
9000,0.84,1.32
10000,0.84,1.3
15000,0.84,1.28
20000,0.824,1.24
