7,800	316,200
7,900	322,800
8,000	318,600
8,100	323,800
8,200	320,200
8,300	308,400
8,400	330,000
8,500	367,400
8,600	427,600
8,700	622,600
8,800	600,000
8,900	505,600
9,000	331,400
9,100	311,800
9,200	280,400
9,300	278,000
9,400	273,200
9,500	289,600
9,600	324,800
9,700	465,000
9,800	1093,600
9,900	1427,600
10,000	1184,000
10,100	614,200
10,200	312,800
10,300	253,400
10,400	235,200
10,500	230,200
10,600	220,400
10,700	217,000
10,800	219,000
10,900	215,200
11,000	195,400
