
TIME STEP:
125 = 2ms

VOLTAGE STEP:
CH1:  32 = 0.5V~
CH2:  32 = 0.5V~

N	CH1	CH2
521	107	21
522	108	18
523	120	23
524	138	41
525	154	63
526	159	79
527	157	83
528	146	81
529	134	72
530	128	65
531	129	65
532	133	69
533	133	70
534	129	68
535	118	55
536	106	36
537	100	20
538	102	16
539	116	21
540	134	37
541	148	56
542	152	69
543	150	71
544	143	70
545	136	67
546	136	68
547	141	75
548	146	85
549	146	87
550	137	83
551	120	66
552	105	45
553	99	27
554	101	23
555	113	26
556	129	39
557	140	52
558	141	58
559	139	58
560	134	56
561	135	57
562	141	66
563	151	81
564	156	95
565	155	98
566	143	95
567	125	79
568	109	58
569	103	42
570	105	38
571	115	40
572	126	48
573	130	53
574	130	53
575	126	48
576	125	46
577	130	50
578	142	64
579	156	84
580	163	102
581	162	106
582	149	104
583	132	90
584	117	73
585	112	62
586	114	60
587	121	62
588	125	64
589	125	63
590	119	54
591	113	43
592	114	40
593	124	45
594	140	62
595	156	84
596	163	102
597	162	109
598	150	107
599	136	96
600	126	86
601	124	82
602	127	83
603	130	86
604	129	86
605	122	77
606	111	61
607	104	47
608	105	43
609	118	46
610	136	63
611	152	84
612	159	100
613	158	106
614	148	105
615	139	99
616	135	98
617	136	100
618	141	107
619	141	111
620	136	109
621	123	95
622	108	76
623	100	59
624	100	53
625	114	56
626	131	70
627	144	87
628	149	98
629	148	100
630	142	100
631	138	99
632	140	103
633	147	114
634	153	128
635	153	132
636	143	130
637	127	115
638	110	94
639	101	77
640	102	71
641	113	73
642	127	84
643	136	93
644	137	96
645	135	96
646	132	94
647	133	96
648	142	107
649	154	125
650	161	142
651	161	149
652	150	148
653	132	133
654	116	115
655	108	99
656	109	95
657	117	97
658	126	103
659	127	104
660	126	101
661	121	94
662	120	91
663	127	94
664	141	109
665	156	131
666	164	151
667	164	159
668	153	158
669	137	147
670	124	133
671	119	124
672	120	123
673	126	125
674	127	126
675	125	123
676	117	111
677	110	98
678	110	93
679	119	96
680	137	114
681	155	136
682	162	154
683	161	162
684	151	161
685	139	153
686	131	147
687	131	146
688	134	150
689	135	153
690	133	152
691	123	142
692	110	124
693	102	107
694	103	102
695	116	105
696	133	121
697	148	140
698	155	155
699	154	159
700	146	158
701	139	156
702	138	157
703	143	164
704	148	174
705	148	178
706	141	177
707	126	163
708	110	143
709	100	124
710	101	118
711	113	121
712	128	133
713	140	147
714	143	154
715	142	155
716	137	154
717	136	154
718	141	162
719	151	177
720	157	192
721	157	198
722	147	197
723	130	182
724	113	162
725	104	145
726	105	139
727	114	141
728	125	149
729	132	155
730	132	155
731	128	152
732	126	149
733	130	151
734	141	164
735	155	183
736	163	202
737	163	211
738	151	209
739	135	197
740	120	180
741	113	167
742	114	165
743	120	166
744	126	168
745	126	168
746	121	160
747	114	151
748	114	147
749	122	149
750	138	164
751	154	186
752	163	206
753	163	215
754	153	214
755	139	204
756	128	194
757	125	188
758	126	189
759	131	193
760	131	193
761	124	185
762	113	170
763	105	154
764	105	149
765	115	151
766	133	165
767	149	186
768	157	203
769	157	211
770	149	211
771	140	205
772	134	202
773	135	203
774	140	210
775	141	215
776	137	214
777	125	201
778	110	183
779	100	164
780	99	154
781	110	156
782	127	169
783	142	186
784	147	198
785	147	201
786	141	201
787	137	200
788	138	203
789	145	212
790	151	225
791	152	232
792	145	231
793	129	217
794	112	197
795	101	177
796	101	168
797	110	169
798	123	178
799	134	188
800	135	192
801	134	192
802	130	189
803	131	189
804	139	199
805	150	215
806	159	232
807	159	241
808	150	241
809	134	227
810	117	208
811	107	192
812	107	185
813	115	186
814	123	190
815	126	192
816	125	190
817	120	182
818	119	177
819	123	178
820	136	191
821	151	211
822	162	231
823	162	242
824	153	242
825	138	230
826	124	216
827	117	205
828	118	202
829	123	203
830	125	204
831	124	201
832	116	191
833	108	177
834	107	168
835	115	169
836	130	183
837	148	203
838	159	223
839	159	233
840	151	233
841	139	225
842	130	217
843	129	215
844	131	216
845	133	220
846	132	220
847	124	210
848	111	193
849	101	175
850	100	163
851	108	164
852	125	177
853	142	195
854	151	211
855	151	217
856	145	217
857	138	213
858	136	212
859	137	216
860	144	225
861	144	231
862	141	230
863	127	218
864	112	199
865	99	177
866	98	165
867	106	165
868	121	175
869	134	188
870	140	197
871	140	198
872	135	197
873	134	196
874	136	200
875	145	212
876	153	226
877	154	236
878	147	236
879	132	223
880	114	202
881	102	183
882	101	171
883	108	170
884	119	176
885	128	183
886	128	183
887	125	180
888	123	174
889	124	173
890	133	183
891	147	200
892	158	219
893	159	231
894	152	231
895	136	219
896	120	202
897	109	186
898	109	179
899	115	179
900	122	181
901	122	181
902	119	175
903	113	163
904	111	154
905	115	154
906	129	166
907	146	186
908	158	206
909	159	218
910	153	218
911	139	209
912	127	197
913	121	188
914	122	187
915	126	189
916	127	189
917	123	184
918	113	169
919	103	152
920	101	140
921	108	139
922	124	151
923	141	169
924	154	187
925	154	196
926	148	196
927	138	192
928	131	185
929	131	185
930	135	189
931	137	195
932	136	195
933	125	185
934	110	165
935	98	145
936	96	131
937	103	130
938	118	138
939	135	153
940	144	167
941	144	171
942	139	170
943	134	167
944	134	167
945	139	175
946	146	187
947	148	196
948	144	196
949	130	184
950	113	163
951	99	142
952	97	128
953	103	126
954	116	132
955	128	142
956	133	148
957	132	148
958	128	143
959	127	142
960	133	147
961	144	160
962	154	177
963	156	189
964	152	189
965	135	178
966	117	159
967	105	141
968	103	129
969	108	128
970	117	131
971	123	133
972	123	132
973	118	125
974	116	117
975	117	115
976	128	123
977	144	141
978	157	161
979	159	174
980	154	175
981	139	166
982	124	151
983	115	138
984	114	132
985	118	132
986	122	133
987	122	131
988	116	121
989	107	106
990	105	94
991	108	93
992	123	102
993	141	121
994	155	141
995	157	154
996	152	154
997	142	148
998	130	139
999	126	133
1000	127	134
1001	131	137
1002	131	137
1003	124	131
1004	112	115
1005	100	94
1006	98	80
1007	102	78
1008	118	86
1009	135	102
1010	148	119
1011	149	129
1012	145	129
1013	137	124
1014	133	122
1015	134	123
1016	140	131
1017	142	139
1018	141	139
1019	129	130
1020	113	110
1021	99	88
1022	96	73
1023	101	71
1024	114	76
1025	129	88
1026	138	98
1027	138	101
1028	134	100
1029	132	98
1030	133	99
1031	141	109
1032	150	124
1033	152	136
1034	149	137
1035	135	127
1036	117	107
1037	103	87
1038	100	72
1039	104	70
1040	116	73
1041	125	80
1042	127	81
1043	126	79
1044	122	73
1045	122	72
1046	129	77
1047	143	92
1048	155	111
1049	158	126
1050	155	127
1051	140	120
1052	123	102
1053	111	86
1054	109	76
1055	112	75
1056	119	77
1057	121	77
1058	120	72
1059	113	61
1060	110	50
1061	112	49
1062	124	56
1063	141	74
1064	156	94
1065	158	110
1066	156	112
1067	143	106
1068	129	94
1069	121	85
1070	120	82
1071	124	83
1072	126	83
1073	125	80
1074	115	68
1075	105	51
1076	102	36
1077	104	33
1078	119	40
1079	136	58
1080	151	78
1081	153	90
1082	151	91
1083	142	89
1084	133	82
1085	132	81
1086	134	84
1087	138	90
1088	138	91
1089	129	85
1090	115	68
1091	101	47
1092	97	30
1093	100	27
1094	114	31
1095	131	47
1096	143	61
1097	144	70
1098	142	70
1099	136	67
1100	135	67
1101	138	73
1102	145	84
1103	149	95
1104	148	96
1105	136	89
1106	119	71
1107	103	49
1108	98	32
1109	101	29
1110	114	32
1111	128	43
1112	134	50
1113	134	51
1114	130	49
1115	129	47
1116	132	50
1117	142	62
1118	154	80
1119	158	94
1120	156	96
1121	142	91
1122	124	74
1123	109	55
1124	106	41
1125	108	39
1126	117	41
1127	125	45
1128	125	45
1129	122	39
1130	117	31
1131	118	29
1132	127	35
1133	142	51
1134	156	71
1135	161	89
1136	159	92
1137	146	88
1138	130	75
1139	118	60
1140	116	53
1141	119	53
1142	124	55
1143	124	55
1144	120	47
1145	111	34
1146	107	21
1147	108	18
1148	121	23
1149	138	42
1150	154	63
1151	159	80
1152	157	82
1153	146	80
1154	134	72
1155	128	65
1156	129	65
1157	133	69
1158	133	70
1159	130	68
1160	118	55
1161	106	36
1162	100	20
1163	102	16
1164	116	20
1165	134	37
1166	148	56
1167	151	68
1168	150	70
1169	143	69
1170	137	66
1171	136	67
1172	141	75
1173	146	85
1174	146	87
1175	136	83
1176	120	66
1177	104	46
1178	99	28
1179	101	23
1180	113	26
1181	129	39
1182	140	52
1183	141	58
1184	140	58
1185	134	56
1186	135	57
1187	142	66
1188	151	81
1189	156	95
1190	155	98
1191	143	96
1192	125	79
1193	110	58
1194	103	42
1195	105	38
1196	115	40
1197	126	48
1198	131	53
1199	131	53
1200	126	48
1201	125	46
1202	130	50
1203	142	64
1204	156	84
1205	162	102
1206	161	106
1207	149	104
1208	132	89
1209	117	73
1210	112	62
1211	114	60
1212	121	62
1213	125	64
1214	125	63
1215	119	54
1216	114	43
1217	115	41
1218	123	44
1219	140	62
1220	156	84
1221	163	102
1222	162	109
1223	151	107
1224	136	96
1225	126	87
1226	124	82
1227	127	83
1228	130	86
1229	130	86
1230	122	77
1231	111	61
1232	104	46
1233	105	42
1234	117	46
1235	135	63
1236	151	84
1237	158	100
1238	157	106
1239	148	105
1240	139	99
1241	135	97
1242	136	100
1243	141	107
1244	141	110
1245	136	109
1246	123	95
1247	108	76
1248	100	58
1249	101	53
1250	114	56
1251	131	70
1252	145	87
1253	149	98
1254	147	101
1255	141	100
1256	139	99
1257	140	103
1258	147	115
1259	153	129
1260	153	132
1261	143	130
1262	127	115
1263	110	94
1264	101	77
1265	102	71
1266	113	73
1267	127	83
1268	136	93
1269	137	96
1270	135	96
1271	132	94
1272	133	96
1273	142	107
1274	154	125
1275	161	142
1276	161	149
1277	149	148
1278	132	133
1279	116	115
1280	108	100
1281	109	95
1282	117	97
1283	126	103
1284	127	104
1285	126	101
1286	121	94
1287	120	92
1288	128	95
1289	141	109
1290	156	131
1291	165	151
1292	164	159
1293	153	158
1294	137	147
1295	124	133
1296	119	124
1297	121	123
1298	126	125
1299	127	126
1300	125	122
1301	117	111
1302	110	98
1303	109	93
1304	119	96
1305	138	114
1306	154	136
1307	161	154
1308	160	162
1309	151	161
1310	139	152
1311	131	147
1312	131	146
1313	135	151
1314	136	153
1315	133	152
1316	124	142
1317	110	124
1318	103	108
1319	104	102
1320	116	105
1321	133	121
1322	149	141
1323	154	155
1324	154	160
1325	146	159
1326	139	156
1327	138	157
1328	142	165
1329	148	174
1330	148	179
1331	141	177
1332	125	163
1333	109	143
1334	101	125
1335	102	118
1336	113	120
1337	128	133
1338	140	146
1339	143	154
1340	142	154
1341	137	154
1342	136	154
1343	141	162
1344	150	177
1345	157	192
1346	157	199
1347	147	197
1348	130	182
1349	113	161
1350	104	146
1351	105	139
1352	115	141
1353	125	149
1354	132	155
1355	132	155
1356	128	152
1357	127	149
1358	130	151
1359	141	164
1360	155	183
1361	163	203
1362	163	211
1363	152	210
1364	135	197
1365	120	180
1366	113	168
1367	114	164
1368	121	166
1369	127	168
1370	127	168
1371	121	161
1372	115	151
1373	114	147
1374	122	149
1375	138	164
1376	154	186
1377	163	206
1378	163	215
1379	153	215
1380	139	205
1381	128	194
1382	125	188
1383	126	189
1384	130	192
1385	130	192
1386	124	185
1387	113	170
1388	105	154
1389	105	148
1390	115	150
1391	132	165
1392	148	185
1393	158	203
1394	158	211
1395	149	211
1396	140	204
1397	135	201
1398	136	202
1399	140	210
1400	141	215
1401	137	214
1402	125	202
1403	110	183
1404	100	164
1405	101	155
1406	111	156
1407	127	169
1408	142	186
1409	148	199
