
TIME STEP:
125 = 2ms

VOLTAGE STEP:
CH1:  32 = 1.5V~
CH2:  32 = 0.5V~

N	CH1	CH2
521	56	34
522	71	56
523	90	73
524	112	82
525	134	81
526	152	72
527	164	65
528	165	65
529	161	69
530	148	73
531	130	73
532	110	63
533	88	44
534	70	25
535	55	16
536	46	17
537	45	30
538	50	48
539	64	63
540	83	68
541	106	68
542	129	63
543	148	63
544	161	71
545	164	82
546	163	88
547	153	88
548	138	74
549	119	53
550	99	33
551	78	23
552	60	24
553	48	35
554	45	48
555	47	56
556	60	56
557	78	54
558	101	54
559	123	60
560	142	74
561	156	90
562	164	100
563	164	99
564	160	87
565	147	67
566	129	49
567	108	39
568	86	40
569	66	48
570	52	55
571	46	55
572	48	47
573	59	43
574	75	44
575	95	56
576	116	75
577	136	95
578	153	106
579	164	106
580	168	95
581	167	79
582	157	65
583	139	61
584	117	63
585	94	66
586	74	66
587	59	58
588	51	47
589	50	38
590	57	39
591	70	53
592	88	75
593	108	95
594	131	107
595	150	107
596	165	98
597	173	88
598	173	84
599	163	85
600	146	88
601	126	88
602	105	83
603	85	69
604	69	53
605	58	42
606	54	43
607	56	56
608	66	76
609	83	94
610	103	103
611	126	103
612	148	99
613	165	96
614	175	97
615	175	106
616	169	114
617	156	114
618	138	103
619	118	86
620	97	65
621	79	53
622	64	53
623	56	66
624	56	81
625	64	93
626	80	98
627	100	97
628	124	96
629	146	98
630	163	108
631	174	123
632	176	133
633	175	134
634	166	123
635	150	102
636	131	83
637	109	72
638	89	73
639	71	81
640	60	92
641	59	95
642	65	95
643	79	91
644	98	91
645	120	100
646	141	117
647	159	135
648	173	149
649	181	149
650	181	138
651	176	122
652	162	105
653	143	97
654	121	98
655	98	103
656	80	106
657	68	105
658	66	96
659	68	89
660	79	89
661	95	101
662	115	121
663	136	144
664	156	156
665	173	157
666	185	149
667	187	137
668	185	126
669	172	124
670	153	127
671	131	129
672	110	128
673	91	118
674	77	103
675	71	93
676	71	92
677	78	105
678	91	127
679	110	148
680	131	159
681	154	159
682	173	153
683	188	146
684	192	145
685	191	150
686	180	156
687	163	156
688	143	149
689	123	133
690	103	114
691	87	103
692	77	103
693	75	115
694	77	134
695	88	149
696	106	157
697	130	157
698	153	153
699	174	153
700	188	159
701	195	170
702	195	181
703	187	181
704	174	171
705	156	152
706	136	132
707	115	119
708	96	120
709	82	130
710	76	143
711	78	152
712	88	152
713	106	152
714	127	151
715	150	155
716	171	169
717	187	186
718	197	199
719	198	199
720	196	189
721	185	169
722	168	152
723	148	142
724	125	143
725	104	149
726	88	156
727	80	156
728	81	152
729	89	147
730	104	146
731	124	156
732	145	174
733	166	195
734	184	209
735	197	210
736	204	201
737	204	186
738	195	172
739	179	167
740	157	168
741	134	172
742	113	172
743	97	166
744	87	154
745	86	145
746	91	145
747	102	155
748	119	177
749	139	198
750	160	212
751	181	212
752	197	205
753	208	195
754	208	190
755	201	190
756	186	194
757	166	195
758	145	192
759	124	178
760	107	161
761	95	149
762	89	148
763	90	158
764	99	177
765	114	196
766	134	208
767	157	208
768	179	204
769	197	199
770	208	200
771	209	209
772	205	217
773	193	218
774	175	209
775	156	191
776	136	171
777	117	157
778	102	156
779	93	165
780	91	181
781	96	194
782	110	200
783	130	199
784	152	197
785	174	198
786	193	207
787	205	220
788	209	232
789	208	233
790	200	225
791	186	206
792	168	185
793	147	171
794	126	169
795	108	177
796	95	187
797	93	191
798	96	191
799	108	187
800	126	186
801	146	191
802	167	206
803	186	225
804	200	239
805	209	240
806	210	233
807	208	216
808	195	198
809	177	188
810	155	187
811	133	192
812	114	194
813	99	193
814	95	185
815	96	176
816	106	175
817	120	183
818	139	202
819	158	223
820	178	238
821	196	239
822	209	233
823	213	220
824	212	209
825	201	205
826	183	206
827	162	208
828	140	207
829	121	198
830	105	182
831	98	169
832	97	167
833	102	175
834	113	194
835	130	215
836	150	229
837	172	230
838	192	225
839	206	216
840	213	214
841	213	216
842	204	222
843	188	223
844	169	217
845	149	202
846	129	182
847	113	167
848	101	165
849	95	172
850	96	188
851	106	204
852	122	214
853	143	214
854	165	210
855	185	208
856	202	211
857	210	221
858	211	232
859	206	233
860	193	227
861	176	207
862	158	186
863	137	170
864	118	168
