
TIME STEP:
125 = 2ms

VOLTAGE STEP:
CH1:  32 = 0.5V~
CH2:  32 = 0.5V~

N	CH1	CH2
521	201	185
522	196	190
523	196	191
524	195	190
525	192	182
526	189	177
527	187	179
528	186	191
529	189	211
530	197	230
531	210	242
532	218	242
533	222	231
534	222	215
535	218	205
536	214	203
537	211	204
538	209	204
539	207	201
540	204	190
541	198	177
542	191	168
543	185	169
544	184	183
545	186	204
546	195	224
547	203	233
548	210	233
549	216	225
550	216	217
551	216	215
552	216	216
553	216	220
554	216	220
555	216	210
556	212	193
557	204	174
558	194	163
559	186	164
560	182	177
561	183	195
562	189	211
563	196	216
564	201	216
565	205	212
566	207	211
567	209	216
568	214	225
569	216	231
570	220	231
571	220	218
572	216	198
573	209	177
574	199	165
575	188	165
576	185	175
577	184	188
578	186	197
579	190	198
580	192	197
581	193	196
582	194	200
583	196	211
584	204	227
585	211	236
586	218	235
587	219	222
588	218	201
589	210	182
590	200	171
591	193	170
592	187	176
593	185	183
594	185	183
595	184	179
596	182	174
597	180	173
598	179	183
599	183	201
600	190	219
601	200	231
602	207	231
603	212	219
604	212	201
605	207	186
606	199	179
607	194	179
608	191	182
609	188	181
610	186	175
611	177	163
612	176	154
613	170	154
614	168	166
615	170	186
616	178	207
617	187	218
618	195	218
619	203	211
620	202	197
621	199	189
622	196	188
623	194	189
624	193	189
625	190	183
626	187	168
627	180	152
628	169	139
629	161	139
630	158	151
631	158	169
632	164	187
633	172	197
634	179	197
635	183	191
636	184	185
637	185	185
638	185	189
639	187	195
640	189	195
641	189	185
642	185	165
643	177	145
644	166	131
645	156	130
646	150	138
647	149	154
648	153	167
649	158	171
650	162	171
651	164	167
652	165	168
653	166	175
654	171	187
655	177	196
656	182	196
657	182	183
658	181	163
659	173	141
660	163	128
661	153	127
662	147	133
663	145	142
664	146	147
665	146	147
666	146	143
667	145	142
668	145	147
669	147	161
670	153	177
671	161	189
672	171	190
673	172	178
674	171	158
675	166	140
676	157	129
677	149	128
678	142	131
679	142	133
680	139	132
681	137	124
682	133	116
683	127	114
684	126	123
685	128	142
686	135	161
687	145	175
688	153	175
689	158	166
690	158	152
691	154	138
692	148	132
693	144	132
694	142	133
695	139	131
696	136	121
697	129	105
698	121	94
699	114	93
700	110	103
701	111	122
702	118	142
703	126	154
704	134	154
705	139	149
706	139	139
707	137	133
708	137	134
709	137	137
710	137	137
711	137	131
712	133	114
713	126	94
714	115	80
715	105	78
716	98	86
717	99	103
718	103	119
719	109	128
720	116	128
721	117	124
722	119	122
723	120	123
724	122	131
725	126	139
726	131	139
727	131	129
728	128	110
729	120	88
730	109	72
731	99	70
732	92	76
733	90	88
734	91	98
735	94	101
736	97	100
737	98	98
738	98	99
739	100	109
740	104	124
741	112	136
742	119	137
743	123	128
744	121	107
745	115	87
746	105	72
747	95	70
748	89	73
749	86	80
750	86	81
751	85	79
752	83	73
753	80	71
754	80	78
755	80	92
756	87	111
757	96	126
758	106	128
759	109	119
760	109	102
761	106	86
762	99	75
763	92	74
764	88	76
765	85	76
766	83	72
767	79	61
768	73	51
769	67	49
770	63	56
771	64	74
772	69	95
773	80	110
774	89	111
775	95	106
776	95	94
777	94	84
778	90	82
779	89	83
780	90	84
781	82	80
782	82	68
783	77	50
784	68	36
785	59	34
786	53	40
787	52	59
788	58	78
789	66	91
790	74	92
791	78	88
792	80	82
793	80	81
794	81	84
795	83	90
796	85	91
797	85	85
798	83	68
799	76	45
800	66	29
801	56	27
802	49	31
803	47	47
804	48	61
805	55	70
806	59	70
807	62	67
808	65	68
809	65	72
810	68	83
811	74	94
812	81	95
813	83	89
814	83	70
815	77	48
816	67	32
817	57	29
818	50	32
819	47	42
820	47	50
821	48	51
822	48	49
823	50	47
824	50	50
825	51	62
826	59	79
827	66	94
828	75	96
829	80	90
830	80	74
831	76	54
832	68	41
833	61	39
834	55	41
835	52	45
836	51	45
837	49	39
838	45	30
839	41	28
840	40	34
841	41	52
842	47	73
843	57	89
844	67	91
845	73	88
846	74	74
847	73	60
848	68	53
849	65	52
850	61	55
851	60	55
852	58	47
853	55	34
854	47	20
855	38	17
856	34	24
857	34	41
858	39	63
859	50	79
860	59	83
861	66	81
862	68	72
863	68	65
864	68	65
865	67	69
866	68	70
867	69	68
868	67	55
869	61	36
870	52	20
871	43	16
872	35	20
873	35	37
874	39	56
875	45	69
876	53	70
877	57	69
878	61	67
879	62	68
880	65	75
881	68	84
882	74	86
883	77	83
884	77	66
885	71	45
886	61	27
887	51	23
888	44	26
889	42	39
890	43	51
891	47	58
892	50	58
893	52	56
894	53	57
895	56	67
896	61	81
897	69	95
898	77	98
899	82	94
900	83	78
901	82	57
902	71	41
903	62	38
904	56	40
905	53	48
906	53	53
907	54	53
908	54	48
909	53	46
910	51	49
911	52	64
912	59	84
913	69	102
914	79	106
915	86	104
916	88	89
917	88	73
918	81	61
919	76	60
920	72	61
921	69	64
922	68	63
923	66	54
924	61	43
925	56	41
926	52	44
927	53	62
928	59	85
929	71	103
930	80	109
931	88	107
932	91	96
933	91	86
934	89	83
935	89	84
