
TIME STEP:
125 = 1ms

VOLTAGE STEP:
CH1:  32 = 0.15V
CH2:  32 = 0.15V

N	CH1	CH2
522	129	230
523	129	230
524	129	231
525	129	231
526	129	231
527	128	231
528	129	231
529	129	231
530	129	231
531	129	231
532	128	230
533	128	231
534	129	231
535	129	231
536	129	230
537	129	231
538	129	231
539	129	231
540	129	230
541	129	231
542	129	231
543	129	231
544	129	231
545	129	232
546	129	231
547	128	231
548	128	231
549	128	231
550	129	231
551	129	231
552	129	231
553	129	231
554	129	231
555	129	231
556	129	231
557	128	230
558	129	231
559	129	231
560	128	231
561	129	231
562	129	231
563	128	231
564	129	231
565	129	230
566	129	231
567	129	231
568	128	230
569	128	230
570	128	231
571	128	231
572	128	231
573	128	231
574	128	231
575	128	231
576	128	231
577	129	231
578	129	231
579	129	231
580	129	231
581	128	231
582	129	231
583	129	231
584	129	231
585	129	231
586	129	231
587	128	231
588	128	231
589	129	231
590	129	231
591	128	231
592	128	229
593	128	230
594	129	230
595	129	230
596	128	230
597	129	230
598	129	230
599	129	230
600	127	231
601	128	231
602	128	231
603	128	231
604	129	230
605	129	230
606	128	230
607	129	230
608	129	230
609	129	230
610	129	230
611	128	231
612	129	231
613	129	231
614	129	231
615	129	230
616	129	231
617	128	231
618	128	231
619	129	231
620	129	231
621	128	231
622	128	231
623	128	231
624	129	231
625	129	231
626	129	230
627	129	230
628	128	230
629	128	231
630	128	231
631	128	230
632	128	230
633	128	230
634	129	230
635	129	230
636	128	230
637	128	230
638	128	230
639	129	231
640	129	231
641	128	231
642	128	230
643	128	230
644	128	230
645	129	231
646	129	231
647	128	230
648	129	230
649	129	230
650	129	230
651	129	231
652	128	231
653	128	231
654	128	231
655	129	231
656	129	231
657	129	231
658	128	231
659	129	231
660	129	231
661	128	231
662	129	230
663	129	230
664	129	230
665	129	230
666	129	230
667	129	230
668	129	231
669	129	231
670	129	230
671	129	231
672	128	231
673	128	231
674	129	231
675	129	230
676	129	230
677	128	230
678	128	230
679	128	230
680	128	230
681	128	230
682	128	230
683	128	230
684	128	230
685	128	230
686	128	230
687	128	230
688	128	230
689	128	230
690	128	230
691	128	230
692	128	229
693	128	229
694	129	229
695	129	230
696	129	230
697	128	230
698	128	230
699	128	230
700	129	230
701	129	230
702	129	230
703	128	230
704	129	230
705	129	230
706	128	230
707	129	230
708	129	230
709	129	230
710	129	230
711	129	230
712	129	230
713	128	230
714	128	230
715	129	230
716	129	230
717	129	230
718	128	230
719	129	230
720	129	230
721	129	230
722	128	230
723	128	230
724	128	230
725	128	230
726	128	230
727	128	230
728	128	230
729	128	231
730	129	231
731	129	230
732	128	231
733	128	231
734	128	230
735	128	230
736	128	230
737	128	230
738	128	230
739	128	230
740	128	230
741	128	231
742	128	231
743	128	231
744	128	230
745	129	230
746	129	230
747	129	230
748	128	230
749	127	229
750	129	230
751	129	230
752	129	230
753	128	230
754	128	230
755	128	230
756	128	230
757	128	230
758	128	230
759	128	230
760	129	230
761	129	230
762	129	230
763	128	230
764	129	230
765	129	230
766	128	230
767	129	230
768	129	230
769	128	230
770	128	230
771	128	230
772	128	230
773	128	230
774	128	230
775	129	230
776	129	230
777	129	230
778	128	230
779	128	230
780	128	230
781	128	230
782	128	230
783	128	230
784	128	230
785	129	230
786	129	230
787	129	230
788	129	230
789	128	230
790	129	229
791	129	230
792	128	230
793	128	230
794	129	230
795	129	230
796	129	230
797	129	229
798	129	230
799	129	230
800	129	230
801	128	230
802	128	230
803	128	230
804	128	230
805	128	230
806	128	230
807	129	230
808	129	230
809	129	230
810	129	230
811	129	230
812	129	230
813	128	230
814	128	230
815	129	230
816	129	230
817	128	230
818	128	230
819	129	230
820	129	230
821	128	230
822	128	230
823	129	230
824	129	230
825	129	230
826	129	230
827	129	230
828	128	230
829	128	229
830	128	230
831	128	230
832	128	229
833	128	230
834	128	230
835	129	230
836	129	230
837	129	230
838	128	230
839	129	230
840	129	230
841	129	230
842	128	230
843	128	230
844	129	230
845	129	230
846	129	230
847	129	230
848	128	230
849	128	230
850	128	230
851	128	230
852	128	230
853	129	230
854	129	230
855	129	230
856	129	230
857	128	230
858	127	230
859	129	230
860	129	230
861	128	230
862	129	230
863	129	230
864	128	230
865	128	230
866	128	230
867	128	230
868	129	230
869	129	230
870	129	230
871	129	230
872	129	229
873	128	230
874	128	230
875	129	230
876	129	230
877	128	230
878	128	231
879	128	230
880	128	230
881	128	230
882	128	229
883	128	230
884	128	230
885	129	230
886	129	230
887	129	230
888	128	230
889	129	230
890	129	230
891	129	230
892	129	230
893	128	229
894	128	230
895	129	230
896	129	230
897	128	230
898	129	230
899	129	230
900	129	230
901	129	230
902	129	230
903	129	230
904	128	230
905	128	230
906	128	229
907	128	230
908	128	230
909	128	230
910	129	230
911	129	230
912	128	230
913	128	230
914	128	230
915	128	230
916	128	230
917	128	230
918	128	230
919	128	230
920	128	230
921	128	230
922	128	230
923	128	230
924	128	230
925	128	229
926	129	229
927	129	230
928	129	230
929	128	230
930	128	230
931	128	230
932	129	230
933	129	230
934	128	229
935	128	230
936	128	230
937	128	230
938	128	230
939	128	230
940	129	230
941	129	230
942	129	229
943	128	229
944	128	229
945	128	230
946	128	230
947	128	230
948	128	229
949	129	230
950	129	230
951	128	229
952	128	230
953	128	230
954	128	229
955	128	229
956	129	230
957	129	230
958	128	230
959	129	229
960	129	230
961	129	230
962	129	230
963	128	230
964	128	230
965	128	230
966	128	229
967	128	230
968	128	230
969	129	230
970	129	230
971	129	230
972	129	230
973	128	230
974	128	229
975	128	229
976	128	229
977	129	230
978	129	230
979	129	230
980	129	230
981	129	230
982	129	230
983	128	230
984	129	230
985	129	230
986	129	230
987	128	230
988	128	230
989	129	230
990	129	230
991	128	230
992	128	229
993	128	230
994	128	230
995	0	35
996	0	31
997	0	31
