  Hz	 Vrms	dBV
9000	0.363	-8.804
9100	0.361	-8.842
9200	0.359	-8.895
9300	0.358	-8.917
9400	0.356	-8.970
9500	0.355	-8.997
9600	0.353	-9.042
9700	0.352	-9.062
9800	0.351	-9.085
9900	0.350	-9.124
10000	0.348	-9.168
