
TIME STEP:
125 = 1ms

VOLTAGE STEP:
CH1:  32 = 0.5V~
CH2:  32 = 0.5V~

N	CH1	CH2
521	141	193
522	125	177
523	111	164
524	98	157
525	88	157
526	83	161
527	82	170
528	85	181
529	92	191
530	100	199
531	108	203
532	116	203
533	123	199
534	126	191
535	126	181
536	126	171
537	123	165
538	120	163
539	117	164
540	117	173
541	120	186
542	127	204
543	136	224
544	146	243
545	158	255
546	169	255
547	178	255
548	184	255
549	184	255
550	182	252
551	174	236
552	163	219
553	149	202
554	135	191
555	122	183
556	111	182
557	103	183
558	99	189
559	98	197
560	101	205
561	105	211
562	111	211
563	115	210
564	118	202
565	118	191
566	116	177
567	112	163
568	107	152
569	101	146
570	97	145
571	96	150
572	98	161
573	104	178
574	113	198
575	125	218
576	140	238
577	154	254
578	167	255
579	177	255
580	183	255
581	184	255
582	182	243
583	175	229
584	165	217
585	153	207
586	142	200
587	132	199
588	124	202
589	120	208
590	119	217
591	120	225
592	122	230
593	126	230
594	127	227
595	127	217
596	125	203
597	120	186
598	113	169
599	104	153
600	95	141
601	87	134
602	82	134
603	81	141
604	82	153
605	89	170
606	100	190
607	114	209
608	130	226
609	145	238
610	157	245
611	167	245
612	172	240
613	173	232
614	171	223
615	166	213
616	159	206
617	151	203
618	144	204
619	139	210
620	136	219
621	136	230
622	138	240
623	142	248
624	145	249
625	147	247
626	147	239
627	144	225
628	137	207
629	127	186
630	115	167
631	102	150
632	91	138
633	81	132
634	74	133
635	73	141
636	75	153
637	82	168
638	93	184
639	106	200
640	120	211
641	133	218
642	144	219
643	151	217
644	155	211
645	155	202
646	154	195
647	150	190
648	145	189
649	142	193
650	140	201
651	140	213
652	143	228
653	148	242
654	155	254
655	160	255
656	165	255
657	166	255
658	165	246
659	159	230
660	150	210
661	137	189
662	123	169
663	108	153
664	95	144
665	84	141
666	77	143
667	76	150
668	77	160
669	83	172
670	92	184
671	103	193
672	114	197
673	123	197
674	130	193
675	133	186
676	134	177
677	133	169
678	130	163
679	127	162
680	126	167
681	126	177
682	129	191
683	135	209
684	144	227
685	153	243
686	163	255
687	172	255
688	178	255
689	179	255
690	178	244
691	171	227
692	161	208
693	147	190
694	132	174
695	118	161
696	105	155
697	95	154
698	89	157
699	88	165
700	89	174
701	94	183
702	100	188
703	107	189
704	113	187
705	117	180
706	118	169
707	118	157
708	115	147
709	111	138
710	107	135
711	104	136
712	104	144
713	108	157
714	115	176
715	125	196
716	138	216
717	151	233
718	164	245
719	175	250
720	182	250
721	184	243
722	183	231
723	176	216
724	166	200
725	154	186
726	141	175
727	128	169
728	118	168
729	111	171
730	107	177
731	106	185
732	108	192
733	111	195
734	115	195
735	118	190
736	118	180
737	117	166
738	113	151
739	107	135
740	100	122
741	93	113
742	87	111
743	85	115
744	86	125
745	91	141
746	101	160
747	114	180
748	129	199
749	144	214
750	158	224
751	168	226
752	176	225
753	178	218
754	177	207
755	172	196
756	164	185
757	154	177
758	144	172
759	136	173
760	130	178
761	127	186
762	127	194
763	128	203
764	131	208
765	134	208
766	134	203
767	134	192
768	130	176
769	124	158
770	114	139
771	104	121
772	93	107
773	83	98
774	76	97
775	73	101
776	74	113
777	80	129
778	90	147
779	104	164
780	118	179
781	133	189
782	146	195
783	156	195
784	162	191
785	163	183
786	163	174
787	159	166
788	153	161
789	147	160
790	142	164
791	139	171
792	139	182
793	141	195
794	144	207
795	149	215
796	153	217
797	155	216
798	155	207
799	152	193
800	145	174
801	134	153
802	121	133
803	107	115
804	93	101
805	82	94
806	74	93
807	71	99
808	72	110
809	77	124
810	87	137
811	98	150
812	111	159
813	123	164
814	133	164
815	139	159
816	143	152
817	143	144
818	142	137
819	139	133
820	135	133
821	133	138
822	134	150
823	136	162
824	141	179
825	148	194
826	157	208
827	164	217
828	170	218
829	172	215
830	172	204
831	167	188
832	158	169
833	145	149
834	131	130
835	115	115
836	101	103
837	90	99
838	82	100
839	79	106
840	80	116
841	84	126
842	91	135
843	100	141
844	109	142
845	116	141
846	121	135
847	123	125
848	123	115
849	121	105
850	118	99
851	115	98
852	114	103
853	115	114
854	120	129
855	127	148
856	138	167
857	149	184
858	161	199
859	171	207
860	179	207
861	182	203
862	182	192
863	176	177
864	167	159
865	154	142
866	140	127
867	126	116
868	113	111
869	104	110
870	97	114
871	95	120
872	95	128
873	99	135
874	104	138
875	109	138
876	114	132
877	115	123
878	115	110
879	112	96
880	107	83
881	101	73
882	96	68
883	93	69
884	93	77
885	97	90
886	104	108
887	115	129
888	129	149
889	144	166
890	157	179
891	169	185
892	178	185
893	182	180
894	182	169
895	177	156
896	168	143
897	158	131
898	146	122
899	135	117
900	126	118
901	119	122
902	116	129
903	116	137
904	118	143
905	121	145
906	124	145
907	124	138
908	124	126
909	121	111
910	114	93
911	106	75
912	97	60
913	88	50
914	82	46
915	78	48
916	78	57
917	82	73
918	91	90
919	104	110
920	119	129
921	134	143
922	148	152
923	160	154
924	168	154
925	172	147
926	172	138
927	168	128
928	161	119
929	153	113
930	146	112
931	140	114
932	136	122
933	134	131
934	135	142
935	138	151
936	141	156
937	144	156
938	145	152
939	144	140
940	139	123
941	131	104
942	120	84
943	108	64
944	95	49
945	84	39
946	75	37
947	71	39
948	71	49
949	75	63
950	84	79
951	96	94
952	110	108
953	124	117
954	136	121
955	146	121
956	152	117
957	154	109
958	154	101
959	151	94
960	146	90
961	142	91
962	139	97
963	138	107
964	140	120
965	144	135
966	150	148
967	156	157
968	161	161
969	165	161
970	165	152
971	162	139
972	154	120
973	144	99
974	130	79
975	115	61
976	100	47
977	88	39
978	79	38
979	74	42
980	73	51
981	77	63
982	85	75
983	95	86
984	106	92
985	116	94
986	124	93
987	130	87
988	133	79
989	133	70
990	131	63
991	128	59
992	125	60
993	125	67
994	126	79
995	131	94
996	138	112
997	147	130
998	157	145
999	167	155
1000	174	158
1001	179	157
1002	179	148
1003	175	133
1004	167	114
1005	155	95
1006	140	77
1007	125	62
1008	111	53
1009	99	49
1010	91	50
1011	86	55
1012	86	63
1013	89	72
1014	95	80
1015	102	83
1016	109	83
1017	114	78
1018	117	70
1019	117	58
1020	116	46
1021	112	36
1022	108	29
1023	105	28
1024	104	32
1025	105	43
1026	110	59
1027	119	79
1028	131	99
1029	144	118
1030	157	133
1031	169	143
1032	178	144
1033	184	142
1034	184	133
1035	181	119
1036	173	103
1037	161	88
1038	148	75
1039	135	66
1040	123	62
1041	114	63
1042	108	67
1043	106	74
1044	107	82
1045	109	88
1046	113	88
1047	116	88
1048	118	80
1049	118	69
1050	116	53
1051	111	37
1052	104	22
1053	96	10
1054	90	4
1055	86	4
1056	85	12
1057	88	25
1058	95	43
1059	106	63
1060	120	83
1061	136	101
1062	150	114
1063	163	121
1064	173	122
1065	179	118
1066	179	109
1067	176	97
1068	169	86
1069	160	76
1070	150	70
1071	141	69
1072	134	71
1073	129	77
1074	127	87
1075	127	94
1076	130	101
1077	133	103
1078	135	102
1079	135	95
1080	133	83
1081	128	65
1082	120	46
1083	110	27
1084	99	10
1085	89	0
1086	80	0
1087	74	0
1088	73	2
1089	77	16
1090	84	33
1091	96	52
1092	110	69
1093	125	82
1094	140	91
1095	151	93
1096	160	93
1097	164	87
1098	164	79
1099	163	70
1100	157	63
1101	151	60
1102	146	61
1103	142	67
1104	140	76
1105	141	88
1106	143	100
1107	148	110
1108	152	118
1109	156	118
1110	157	114
1111	156	103
1112	150	87
1113	142	67
1114	130	46
1115	116	25
1116	102	9
1117	89	0
1118	79	0
1119	73	0
1120	72	5
1121	74	18
1122	82	32
1123	92	46
1124	105	58
1125	117	66
1126	129	68
1127	137	67
1128	143	62
1129	145	54
1130	145	46
1131	142	40
1132	139	39
1133	136	40
1134	135	48
1135	136	61
1136	139	77
1137	146	93
1138	153	109
1139	161	120
1140	169	127
1141	174	127
1142	175	120
1143	173	107
1144	165	89
1145	155	70
1146	141	49
1147	126	32
1148	111	18
1149	97	10
1150	87	9
1151	82	13
1152	81	21
1153	82	31
1154	88	42
1155	97	50
1156	106	55
1157	114	55
1158	120	51
1159	124	44
1160	125	34
1161	124	24
1162	122	16
1163	118	13
1164	116	14
1165	116	23
1166	119	35
1167	125	53
1168	133	72
1169	144	91
1170	156	108
1171	168	120
1172	177	125
1173	184	125
1174	184	118
1175	183	104
1176	175	88
1177	164	71
1178	150	55
1179	136	42
1180	122	33
1181	111	30
1182	102	31
1183	98	37
1184	97	46
1185	99	53
1186	103	59
1187	109	60
1188	114	59
1189	117	52
1190	117	41
1191	116	29
1192	112	14
1193	107	2
1194	101	0
1195	97	0
1196	95	0
1197	96	8
1198	102	24
1199	111	44
1200	124	65
1201	138	86
1202	152	101
1203	166	112
1204	176	115
1205	183	114
1206	184	107
1207	183	94
1208	177	82
1209	167	69
1210	155	58
1211	144	51
1212	134	50
1213	125	52
1214	120	58
1215	118	66
1216	119	74
1217	122	80
1218	125	81
1219	127	79
1220	127	70
1221	126	57
1222	121	39
1223	114	22
1224	105	5
1225	96	0
1226	88	0
1227	82	0
1228	81	0
1229	82	2
1230	88	20
1231	99	40
1232	113	59
1233	128	77
1234	143	89
1235	157	96
1236	167	97
1237	173	95
1238	175	88
1239	174	78
1240	168	69
1241	161	61
1242	153	58
1243	146	59
1244	141	64
1245	138	73
1246	137	83
1247	139	94
1248	143	102
1249	146	105
1250	148	104
1251	148	97
1252	145	84
1253	139	66
1254	130	46
1255	118	26
1256	105	8
1257	92	0
1258	83	0
1259	76	0
1260	74	0
1261	75	8
1262	81	24
1263	92	41
1264	105	57
1265	119	69
1266	133	78
1267	144	79
1268	152	78
1269	157	72
1270	157	64
1271	156	57
1272	152	52
1273	148	51
1274	144	55
1275	142	62
1276	142	75
1277	145	89
1278	150	104
1279	156	117
1280	162	125
1281	167	126
1282	168	124
1283	168	114
1284	162	97
1285	154	78
1286	141	57
1287	127	38
1288	112	22
1289	98	11
1290	87	6
1291	79	7
1292	77	15
1293	78	27
1294	84	39
1295	93	52
1296	103	61
1297	114	67
1298	124	67
1299	131	65
1300	135	58
1301	136	49
1302	136	41
1303	133	36
1304	130	35
1305	128	39
1306	129	49
1307	131	63
1308	137	81
1309	145	99
1310	155	117
1311	165	131
1312	174	138
1313	181	139
1314	182	135
1315	182	124
1316	176	107
1317	165	89
1318	152	71
1319	138	55
1320	122	42
1321	109	35
1322	98	34
1323	92	38
1324	90	45
1325	91	55
1326	95	64
1327	102	70
1328	109	72
1329	115	71
1330	120	65
1331	121	55
1332	121	44
1333	118	33
1334	114	24
1335	110	21
1336	108	22
1337	108	30
1338	111	44
1339	118	63
1340	128	84
